benchmark_method,benchmark_scope,true_positives,false_positives,false_negatives,precision_percent,sensitivity_percent,f_measure_percent
bcftools_isec,50-region chr22,2469,0,123,100.00,95.25,97.57
RTG_vcfeval,50-region chr22,2465,4,127,99.84,95.10,97.41
